variable;source locations;header locations;kconfig locations;kbuild locations;prompt;solutions
CONFIG_HAVE_SYSCALL_TRACEPOINTS;\kernel\tracepoint.c:527;\include\linux\tracepoint.h:95, \include\linux\tracepoint.h:98, \include\trace\events\syscalls.h:14, \include\trace\events\syscalls.h:66, \include\trace\syscall.h:36;\kernel\trace\Kconfig:45;;no;"!CONFIG_TRACEPOINTS"
CONFIG_HID_PID;;\include\linux\hid.h:1115;\drivers\hid\usbhid\Kconfig:27;\drivers\hid\usbhid\Makefile:7;yes;"<too much to display>"
CONFIG_HISAX_DEBUG;\drivers\isdn\hisax\hfc_usb.c:1212, \drivers\isdn\hisax\hfc_usb.c:1592, \drivers\isdn\hisax\hisax_fcpcipnp.c:45, \drivers\isdn\hisax\hisax_isac.c:34, \drivers\isdn\hisax\hisax_isac.c:762, \drivers\isdn\hisax\st5481_init.c:43, \drivers\isdn\hisax\st5481_init.c:192;\drivers\isdn\hisax\hfc_usb.h:170, \drivers\isdn\hisax\hisax_debug.h:18, \drivers\isdn\hisax\hisax_debug.h:26, \drivers\isdn\hisax\st5481.h:469;\drivers\isdn\hisax\Kconfig:351;;yes;"!CONFIG_HISAX_FRITZ_PCIPNP !CONFIG_HISAX_FRITZ_PCIPNP_MODULE !CONFIG_HISAX_HFCUSB !CONFIG_HISAX_HFCUSB_MODULE !CONFIG_HISAX_ST5481 !CONFIG_HISAX_ST5481_MODULE CONFIG_ISDN CONFIG_ISDN_DRV_HISAX !CONFIG_ISDN_DRV_HISAX_MODULE 
!CONFIG_HISAX_FRITZ_PCIPNP !CONFIG_HISAX_FRITZ_PCIPNP_MODULE !CONFIG_HISAX_HFCUSB !CONFIG_HISAX_HFCUSB_MODULE !CONFIG_HISAX_ST5481 !CONFIG_HISAX_ST5481_MODULE CONFIG_ISDN !CONFIG_ISDN_DRV_HISAX CONFIG_ISDN_DRV_HISAX_MODULE"
CONFIG_HSU_DMA_PCI;;;\drivers\dma\hsu\Kconfig:7;\drivers\dma\hsu\Makefile:4;no;"!CONFIG_HSU_DMA !CONFIG_HSU_DMA_MODULE !CONFIG_HSU_DMA_PCI_MODULE"
CONFIG_HSU_DMA_PCI_MODULE;;;\drivers\dma\hsu\Kconfig:7;\drivers\dma\hsu\Makefile:4;no;"!CONFIG_HSU_DMA !CONFIG_HSU_DMA_MODULE !CONFIG_HSU_DMA_PCI"
CONFIG_I2C_DEBUG_BUS;\drivers\i2c\busses\i2c-imx.c:513, \drivers\i2c\busses\i2c-imx.c:934;;\drivers\i2c\Kconfig:138;\drivers\i2c\busses\Makefile:122, \drivers\i2c\muxes\Makefile:12;yes;"!CONFIG_I2C_IMX !CONFIG_I2C_IMX_MODULE"
CONFIG_INLINE_READ_UNLOCK;\kernel\locking\spinlock.c:252;\include\linux\rwlock_api_smp.h:83;\kernel\Kconfig.locks:168;;no;"!CONFIG_DEBUG_SPINLOCK !CONFIG_PROVE_LOCKING !CONFIG_SMP"
CONFIG_INLINE_READ_UNLOCK_IRQ;\kernel\locking\spinlock.c:268;\include\linux\rwlock_api_smp.h:99;\kernel\Kconfig.locks:176;;no;"!CONFIG_DEBUG_SPINLOCK !CONFIG_PROVE_LOCKING !CONFIG_SMP"
CONFIG_INLINE_SPIN_UNLOCK_IRQ;\kernel\locking\spinlock.c:196;\include\linux\spinlock_api_smp.h:80;\kernel\Kconfig.locks:139;;no;"!CONFIG_DEBUG_SPINLOCK !CONFIG_PROVE_LOCKING !CONFIG_SMP"
CONFIG_INLINE_WRITE_UNLOCK;\kernel\locking\spinlock.c:324;\include\linux\rwlock_api_smp.h:87;\kernel\Kconfig.locks:205;;no;"!CONFIG_DEBUG_SPINLOCK !CONFIG_PROVE_LOCKING !CONFIG_SMP"
CONFIG_INLINE_WRITE_UNLOCK_IRQ;\kernel\locking\spinlock.c:340;\include\linux\rwlock_api_smp.h:103;\kernel\Kconfig.locks:213;;no;"!CONFIG_DEBUG_SPINLOCK !CONFIG_PROVE_LOCKING !CONFIG_SMP"
CONFIG_IWLWIFI_LEDS;;\drivers\net\wireless\iwlwifi\dvm\dev.h:891, \drivers\net\wireless\iwlwifi\dvm\led.h:39, \drivers\net\wireless\iwlwifi\mvm\mvm.h:723, \drivers\net\wireless\iwlwifi\mvm\mvm.h:1233;\drivers\net\wireless\iwlwifi\Kconfig:47;\drivers\net\wireless\iwlwifi\dvm\Makefile:10, \drivers\net\wireless\iwlwifi\mvm\Makefile:8;no;"!CONFIG_IWLDVM !CONFIG_IWLDVM_MODULE !CONFIG_IWLMVM !CONFIG_IWLMVM_MODULE CONFIG_IWLWIFI !CONFIG_IWLWIFI_MODULE CONFIG_WLAN 
!CONFIG_IWLDVM !CONFIG_IWLDVM_MODULE !CONFIG_IWLMVM !CONFIG_IWLMVM_MODULE !CONFIG_IWLWIFI CONFIG_IWLWIFI_MODULE CONFIG_WLAN"
CONFIG_KVM_DEBUG_FS;\arch\x86\kernel\kvm.c:628, \arch\x86\kernel\kvm.c:731, \arch\x86\kernel\kvm.c:744;;\arch\x86\Kconfig:704;;yes;"CONFIG_KVM_GUEST !CONFIG_PARAVIRT_SPINLOCKS 
CONFIG_KVM_GUEST CONFIG_PARAVIRT_SPINLOCKS CONFIG_QUEUED_SPINLOCKS"
CONFIG_LEGACY_VSYSCALL_NATIVE;\arch\x86\entry\vsyscall\vsyscall_64.c:42;;\arch\x86\Kconfig:2049;;yes;"!CONFIG_LEGACY_VSYSCALL_NONE !CONFIG_X86_VSYSCALL_EMULATION"
CONFIG_LEGACY_VSYSCALL_NONE;\arch\x86\entry\vsyscall\vsyscall_64.c:44;;\arch\x86\Kconfig:2068;;yes;"!CONFIG_LEGACY_VSYSCALL_NATIVE !CONFIG_X86_VSYSCALL_EMULATION"
CONFIG_LIB80211_DEBUG;\net\wireless\lib80211_crypt_ccmp.c:333, \net\wireless\lib80211_crypt_tkip.c:451, \net\wireless\lib80211_crypt_tkip.c:487;;\net\wireless\Kconfig:221;;yes;"!CONFIG_LIB80211_CRYPT_CCMP !CONFIG_LIB80211_CRYPT_CCMP_MODULE !CONFIG_LIB80211_CRYPT_TKIP !CONFIG_LIB80211_CRYPT_TKIP_MODULE CONFIG_WIRELESS"
CONFIG_M68K;\drivers\ide\ide-io-std.c:6, \drivers\pcmcia\rsrc_iodyn.c:47, \drivers\video\logo\logo.c:16;\include\linux\acct.h:55, \include\uapi\linux\acct.h:62;\arch\m68k\Kconfig:1;\drivers\pci\Makefile:42;no;"Too big find solutions to"
CONFIG_MEDIA_ATTACH;\drivers\media\dvb-core\dvb_frontend.c:2798, \drivers\media\pci\bt8xx\dst.c:1718, \drivers\media\v4l2-core\tuner-core.c:154;\drivers\media\dvb-core\dvbdev.h:230;\drivers\media\Kconfig:210;;no;"!CONFIG_DVB_BT8XX !CONFIG_DVB_BT8XX_MODULE !CONFIG_DVB_CORE !CONFIG_DVB_CORE_MODULE !CONFIG_VIDEO_BT848 !CONFIG_VIDEO_BT848_MODULE !CONFIG_VIDEO_DEV CONFIG_VIDEO_DEV_MODULE !CONFIG_VIDEO_TUNER !CONFIG_VIDEO_TUNER_MODULE 
!CONFIG_DVB_BT8XX !CONFIG_DVB_BT8XX_MODULE !CONFIG_DVB_CORE !CONFIG_DVB_CORE_MODULE !CONFIG_VIDEO_BT848 !CONFIG_VIDEO_BT848_MODULE CONFIG_VIDEO_DEV !CONFIG_VIDEO_DEV_MODULE !CONFIG_VIDEO_TUNER !CONFIG_VIDEO_TUNER_MODULE"
CONFIG_MEDIA_SUPPORT;;;\drivers\media\Kconfig:5;\drivers\media\Makefile:18;yes;"!CONFIG_MEDIA_CONTROLLER !CONFIG_MEDIA_SUPPORT_MODULE"
CONFIG_MEDIA_SUPPORT_MODULE;;;\drivers\media\Kconfig:5;\drivers\media\Makefile:18;yes;"!CONFIG_MEDIA_CONTROLLER !CONFIG_MEDIA_SUPPORT"
CONFIG_MEMORY;;;\drivers\memory\Kconfig:5;\drivers\Makefile:158;yes;"Too big find solutions to"
CONFIG_MEMSTICK_UNSAFE_RESUME;\drivers\memstick\core\mspro_block.c:1381, \drivers\memstick\core\mspro_block.c:1422, \drivers\memstick\core\ms_block.c:2252;;\drivers\memstick\core\Kconfig:7;;yes;"<too much to display>"
CONFIG_MGEODEGX1;\arch\x86\kernel\tsc.c:1026;\arch\x86\include\asm\module.h:52;\arch\x86\Kconfig.cpu:214;\arch\x86\Makefile_32.cpu:42;yes;"!CONFIG_MGEODE_LX CONFIG_X86_GENERIC"
CONFIG_MGEODE_LX;\arch\x86\kernel\tsc.c:1026;\arch\x86\include\asm\module.h:54;\arch\x86\Kconfig.cpu:220;\arch\x86\Makefile_32.cpu:43;yes;"!CONFIG_MGEODEGX1 CONFIG_X86_GENERIC"
CONFIG_MICREL_KS8995MA;;;\drivers\net\phy\Kconfig:261;\drivers\net\phy\Makefile:34;yes;"!CONFIG_MICREL_KS8995MA_MODULE !CONFIG_PHYLIB !CONFIG_PHYLIB_MODULE"
CONFIG_MICREL_KS8995MA_MODULE;;;\drivers\net\phy\Kconfig:261;\drivers\net\phy\Makefile:34;yes;"!CONFIG_MICREL_KS8995MA !CONFIG_PHYLIB !CONFIG_PHYLIB_MODULE"
CONFIG_MMC_RICOH_MMC;\drivers\pci\quirks.c:2764, \drivers\pci\quirks.c:2847;;\drivers\mmc\host\Kconfig:83;;yes;"CONFIG_PCI !CONFIG_PCI_QUIRKS"
CONFIG_MODULES_TREE_LOOKUP;\kernel\module.c:105;\include\linux\module.h:388;\init\Kconfig:2020;;no;"!CONFIG_MODULES"
CONFIG_MPLS;;\include\net\net_namespace.h:137;\net\mpls\Kconfig:5;\net\Makefile:72;yes;"<too much to display>"
CONFIG_MTD_OTP;\drivers\mtd\chips\cfi_cmdset_0001.c:71, \drivers\mtd\chips\cfi_cmdset_0001.c:634, \drivers\mtd\chips\cfi_cmdset_0001.c:2194;;\drivers\mtd\chips\Kconfig:147;;yes;"CONFIG_MTD !CONFIG_MTD_MODULE !CONFIG_MTD_CFI_INTELEXT !CONFIG_MTD_CFI_INTELEXT_MODULE 
!CONFIG_MTD CONFIG_MTD_MODULE !CONFIG_MTD_CFI_INTELEXT !CONFIG_MTD_CFI_INTELEXT_MODULE"
CONFIG_MTK_INFRACFG;;;\drivers\soc\mediatek\Kconfig:4;\drivers\soc\mediatek\Makefile:1;yes;"!CONFIG_ARCH_MEDIATEK"
CONFIG_MTK_SCPSYS;;;\drivers\soc\mediatek\Kconfig:23;\drivers\soc\mediatek\Makefile:3;yes;"!CONFIG_ARCH_MEDIATEK"
CONFIG_NANDSIM_FOURTH_ID_BYTE;\drivers\mtd\nand\nandsim.c:52, \drivers\mtd\nand\nandsim.c:56, \drivers\mtd\nand\nandsim.c:114;;;;no;"<too much to display>"
CONFIG_NEED_DMA_MAP_STATE;\drivers\net\ethernet\chelsio\cxgb3\sge.c:207, \drivers\net\ethernet\chelsio\cxgb4\sge.c:282, \drivers\net\ethernet\chelsio\cxgb4\sge.c:1590, \drivers\net\ethernet\chelsio\cxgb4vf\sge.c:220;\include\linux\dma-mapping.h:305;\arch\alpha\Kconfig:70, \arch\arm\Kconfig:210, \arch\arm64\Kconfig:152, \arch\ia64\Kconfig:83, \arch\mips\Kconfig:1095, \arch\parisc\Kconfig:92, \arch\powerpc\Kconfig:724, \arch\s390\Kconfig:633, \arch\sh\Kconfig:159, \arch\sparc\Kconfig:136, \arch\tile\Kconfig:95, \arch\unicore32\Kconfig:66, \arch\x86\Kconfig:189;;no;"!CONFIG_CHELSIO_T3 !CONFIG_CHELSIO_T3_MODULE !CONFIG_CHELSIO_T4 !CONFIG_CHELSIO_T4_MODULE !CONFIG_CHELSIO_T4VF !CONFIG_CHELSIO_T4VF_MODULE CONFIG_ETHERNET 
!CONFIG_CHELSIO_T3 !CONFIG_CHELSIO_T3_MODULE !CONFIG_CHELSIO_T4 !CONFIG_CHELSIO_T4_MODULE !CONFIG_CHELSIO_T4VF !CONFIG_CHELSIO_T4VF_MODULE !CONFIG_ETHERNET !CONFIG_NET_VENDOR_CHELSIO"
CONFIG_NEED_PER_CPU_EMBED_FIRST_CHUNK;\mm\percpu.c:1721, \mm\percpu.c:1741;\include\linux\percpu.h:103;\arch\powerpc\Kconfig:33, \arch\sparc\Kconfig:118, \arch\x86\Kconfig:230;;no;"CONFIG_HAVE_SETUP_PER_CPU_AREA !CONFIG_SMP"
CONFIG_NEED_SG_DMA_LENGTH;\arch\arm\mm\dma-mapping.c:919, \arch\mips\mm\dma-default.c:312, \arch\tile\kernel\pci-dma.c:217, \arch\tile\kernel\pci-dma.c:392, \drivers\infiniband\hw\qib\qib_dma.c:112, \drivers\infiniband\ulp\srp\ib_srp.c:1524, \drivers\staging\rdma\hfi1\dma.c:129, \drivers\staging\rdma\ipath\ipath_dma.c:119;\include\linux\scatterlist.h:18, \include\linux\scatterlist.h:32;\arch\alpha\Kconfig:73, \arch\arm\Kconfig:100, \arch\arm64\Kconfig:155, \arch\hexagon\Kconfig:67, \arch\ia64\Kconfig:86, \arch\mips\cavium-octeon\Kconfig:81, \arch\mips\loongson64\Kconfig:131, \arch\mips\netlogic\Kconfig:88, \arch\parisc\Kconfig:95, \arch\powerpc\Kconfig:727, \arch\s390\Kconfig:630, \arch\sh\Kconfig:162, \arch\sparc\Kconfig:139, \arch\tile\Kconfig:270, \arch\unicore32\mm\Kconfig:48, \arch\x86\Kconfig:193;;no;"Too big find solutions to"
CONFIG_NET_VENDOR_AGERE;;;\drivers\net\ethernet\agere\Kconfig:5;\drivers\net\ethernet\Makefile:9;yes;"!CONFIG_ET131X !CONFIG_ET131X_MODULE CONFIG_ETHERNET"
CONFIG_NET_VENDOR_ARC;;;\drivers\net\ethernet\arc\Kconfig:5;\drivers\net\ethernet\Makefile:16;yes;"!CONFIG_ARC_EMAC !CONFIG_ARC_EMAC_MODULE !CONFIG_ARC_EMAC_CORE !CONFIG_ARC_EMAC_CORE_MODULE !CONFIG_EMAC_ROCKCHIP !CONFIG_EMAC_ROCKCHIP_MODULE CONFIG_ETHERNET"
CONFIG_NET_VENDOR_AURORA;;;\drivers\net\ethernet\aurora\Kconfig:1;\drivers\net\ethernet\Makefile:18;yes;"!CONFIG_AURORA_NB8800 !CONFIG_AURORA_NB8800_MODULE CONFIG_ETHERNET"
CONFIG_NET_VENDOR_CISCO;;;\drivers\net\ethernet\cisco\Kconfig:5;\drivers\net\ethernet\Makefile:27;yes;"!CONFIG_ENIC !CONFIG_ENIC_MODULE CONFIG_ETHERNET CONFIG_NET_RX_BUSY_POLL"
CONFIG_NET_VENDOR_EMULEX;;;\drivers\net\ethernet\emulex\Kconfig:5;\drivers\net\ethernet\Makefile:33;yes;"!CONFIG_BE2NET !CONFIG_BE2NET_MODULE !CONFIG_BE2NET_VXLAN CONFIG_ETHERNET CONFIG_NET_RX_BUSY_POLL"
CONFIG_NET_VENDOR_EZCHIP;;;\drivers\net\ethernet\ezchip\Kconfig:5;\drivers\net\ethernet\Makefile:34;yes;"CONFIG_ETHERNET !CONFIG_EZCHIP_NPS_MANAGEMENT_ENET !CONFIG_EZCHIP_NPS_MANAGEMENT_ENET_MODULE"
CONFIG_NET_VENDOR_HISILICON;;;\drivers\net\ethernet\hisilicon\Kconfig:5;\drivers\net\ethernet\Makefile:39;yes;"Too big find solutions to"
CONFIG_NET_VENDOR_MICROCHIP;;;\drivers\net\ethernet\microchip\Kconfig:5;\drivers\net\ethernet\Makefile:51;yes;"!CONFIG_ENC28J60 !CONFIG_ENC28J60_MODULE !CONFIG_ENC28J60_WRITEVERIFY !CONFIG_ENCX24J600 !CONFIG_ENCX24J600_MODULE CONFIG_ETHERNET"
CONFIG_NET_VENDOR_QUALCOMM;;;\drivers\net\ethernet\qualcomm\Kconfig:5;\drivers\net\ethernet\Makefile:66;yes;"CONFIG_ETHERNET !CONFIG_QCA7000 !CONFIG_QCA7000_MODULE"
CONFIG_NET_VENDOR_RDC;;;\drivers\net\ethernet\rdc\Kconfig:5;\drivers\net\ethernet\Makefile:69;yes;"CONFIG_ETHERNET !CONFIG_R6040 !CONFIG_R6040_MODULE"
CONFIG_NET_VENDOR_ROCKER;;;\drivers\net\ethernet\rocker\Kconfig:5;\drivers\net\ethernet\Makefile:70;yes;"CONFIG_ETHERNET !CONFIG_ROCKER !CONFIG_ROCKER_MODULE"
CONFIG_NET_VENDOR_SILAN;;;\drivers\net\ethernet\silan\Kconfig:5;\drivers\net\ethernet\Makefile:73;yes;"CONFIG_ETHERNET !CONFIG_SC92031 !CONFIG_SC92031_MODULE"
CONFIG_NET_VENDOR_SYNOPSYS;;;\drivers\net\ethernet\synopsys\Kconfig:5;\drivers\net\ethernet\Makefile:80;yes;"CONFIG_ETHERNET !CONFIG_SYNOPSYS_DWC_ETH_QOS !CONFIG_SYNOPSYS_DWC_ETH_QOS_MODULE"
CONFIG_NET_VENDOR_TI;;;\drivers\net\ethernet\ti\Kconfig:5;\drivers\net\ethernet\Makefile:82;yes;"Too big find solutions to"
CONFIG_NET_VENDOR_WIZNET;;;\drivers\net\ethernet\wiznet\Kconfig:5;\drivers\net\ethernet\Makefile:87;yes;"CONFIG_ETHERNET !CONFIG_WIZNET_BUS_DIRECT !CONFIG_WIZNET_BUS_INDIRECT !CONFIG_WIZNET_W5100 !CONFIG_WIZNET_W5100_MODULE !CONFIG_WIZNET_W5300 !CONFIG_WIZNET_W5300_MODULE"
